Shop,Latitude,Longitude
Louisa南崁店,25.049920,121.292720
四季芳庭,25.047673,121.294551
Louisa 台茂店,25.053981,121.288592
星巴克台茂店,25.053283,121.288592
星巴克南崁店,25.049547,121.291974
星巴克好市多,25.040299,121.295106
JD Show,25.045635,121.295324
Ten Past Ten,25.045762,121.292540
午後時光,25.047953,121.293757
午逅,25.051165,121.290912
Worthy,25.049473,121.288223
OVEN,25.042605,121.286838
老窩,25.040974,121.289740
沐瑟,25.045575,121.291021
胖茶壺,25.051757,121.301183
85度C蘆竹忠孝店,25.041076,121.289806
拼布學習咖啡,25.041990,121.290064
Ease,25.040418,121.289858
Mitty,25.043381,121.293218
豆趣,25.055120,121.290766
Cama 南嵌店,25.052162,121.287462
烘豆子,25.045407,121.288013
丹,25.050552,121.296943
手心溫度,25.050046,121.298010
咖啡喵,25.045295,121.296473
轆轆咖啡,25.039269,121.291967
皇家火車,25.035201,121.302603
鹿點咖啡,25.004411,121.324494
尼全咖啡烘焙,25.004610,121.318025
GrandMa,24.998543,121.318282
紅果子,24.996948,121.317252
Where is Coffee 雙峰店,25.013012,121.314189
走走咖啡,25.011048,121.312150
好日子,25.009142,121.317987
Cafe is Fun,25.006128,121.306915
卡諾咖啡生活館,25.016121,121.312518
路易莎大有店,25.010690,121.319595
85度C大有店,25.013195,121.318125
爵仕德,25.018090,121.305036
Buna Cafe,25.015882,121.298556
路易莎南平店,25.018370,121.298341
黑豆,25.020159,121.294693
啡蒔,25.02015,121.297139
三火木,25.028559,121.301731
放慢腳步,25.020704,121.300186
Li's 俐思咖啡,25.010819,121.314342
希羅,25.0135,121.297075
約瑟夫咖啡工作室,25.012847,121.314654
燊咖啡,25.016555,121.301719
上咖啡,25.009555,121.304380
二樓,24.997426,121.309518
6號,25.015867,121.297412
星巴克藝文門市,25.014653,121.300563
未秧咖啡,25.024362,121.295482
爵米,25.014554,121.297002
SOLO,25.023379,121.292823
卡爾地咖啡,25.002141,121.308091
金蜜蜂,25.011129,121.297838
皇家火車大業店,25.008677,121.316002
品皇桃園中正店,25.004727,121.301237
金蜜蜂大興西路店,25.011211,121.297919
悅蜜,25.036969,121.280096
圖索 LOGO,25.056227,121.294621
喵日子,24.998356,121.297841
OKLAO歐客佬桃園幸福店,24.995915,121.303145
銀河鐵道,25.055281,121.312881
閱讀柒年,24.993049,121.311434
卡爾地咖啡,25.002104,121.308075
190咖啡,25.005299,121.298052
豆鋪,25.008851,121.294176
習作,24.992494,121.313728
杜宅,24.988087,121.302229
神奇咖啡屋,24.988946,121.294216
阿助那裡,25.022978,121.289224
School of Black,25.006388,121.300983
平和會館,25.014977,121.294796
